Time;Green;LED_red;LED_yell;Humidity;Temperature;Volume
11/29/23 05:55:59 PM;1.0;;;;;
11/29/23 05:55:58 PM;;;0.0;92.5;30.7;3.035
11/29/23 05:55:56 PM;1.0;;0.0;92.5;30.7;3.035
11/29/23 05:55:54 PM;1.0;;0.0;;;3.035
11/29/23 05:55:53 PM;;;;92.5;30.7;
11/29/23 05:55:51 PM;1.0;;0.0;92.5;30.7;3.035
11/29/23 05:55:49 PM;1.0;;0.0;92.5;30.7;3.035
11/29/23 05:55:48 PM;;;;;30.7;
11/29/23 05:55:46 PM;1.0;;0.0;92.5;30.7;3.035
11/29/23 05:55:44 PM;1.0;;0.0;92.5;30.6;3.035
11/29/23 05:55:42 PM;1.0;;0.0;;;
11/29/23 05:55:41 PM;;;;92.4;30.6;3.035
11/29/23 05:55:39 PM;1.0;;0.0;92.4;30.6;3.035
11/29/23 05:55:37 PM;1.0;;0.0;92.4;30.6;3.035
11/29/23 05:55:36 PM;;;;;30.6;
11/29/23 05:55:34 PM;1.0;;0.0;92.4;30.7;3.035
11/29/23 05:55:32 PM;1.0;;0.0;92.4;30.6;3.035
11/29/23 05:55:30 PM;1.0;;;;;
11/29/23 05:55:29 PM;;;0.0;92.4;30.6;3.035
11/29/23 05:55:27 PM;1.0;;0.0;92.4;30.6;3.035
11/29/23 05:55:25 PM;1.0;;0.0;;;
11/29/23 05:55:24 PM;;;;92.4;30.6;3.035
11/29/23 05:55:22 PM;1.0;;0.0;92.4;30.6;3.035
11/29/23 05:55:20 PM;1.0;;0.0;92.3;30.6;3.035
11/29/23 05:55:17 PM;1.0;;0.0;92.3;30.6;3.035
11/29/23 05:55:15 PM;1.0;;0.0;92.2;30.6;3.035
11/29/23 05:55:13 PM;1.0;;;;;
11/29/23 05:55:12 PM;;;0.0;92.1;30.6;3.035
11/29/23 05:55:11 PM;1.0;;;;;
11/29/23 05:55:10 PM;;;0.0;92.0;30.6;3.035
11/29/23 05:55:08 PM;1.0;;0.0;;;
11/29/23 05:55:07 PM;;;;91.9;30.6;3.035
11/29/23 05:55:05 PM;1.0;;0.0;91.8;30.6;3.035
11/29/23 05:55:03 PM;1.0;;0.0;91.5;30.6;3.035
11/29/23 05:55:02 PM;;;;;30.6;
11/29/23 05:54:55 PM;1.0;;0.0;91.2;30.6;3.035
11/29/23 05:54:53 PM;1.0;;0.0;91.0;30.6;3.035
11/29/23 05:54:51 PM;1.0;;0.0;90.4;30.6;3.035
11/29/23 05:54:33 PM;0.0;;1.0;92.0;30.6;1.924
11/29/23 05:54:25 PM;0.0;;1.0;92.0;30.6;2.278
11/29/23 05:54:23 PM;0.0;;1.0;92.0;30.7;2.278
11/29/23 05:54:21 PM;0.0;;1.0;;;
11/29/23 05:54:20 PM;;;;92.0;30.6;2.278
11/29/23 05:54:18 PM;0.0;;1.0;92.0;30.6;2.278
11/29/23 05:54:16 PM;0.0;;1.0;;;2.278
11/29/23 05:54:15 PM;;;;92.0;30.7;
11/29/23 05:54:13 PM;0.0;;1.0;92.0;30.6;2.278
11/29/23 05:54:11 PM;0.0;;1.0;92.0;30.6;2.278
11/29/23 05:54:08 PM;0.0;;1.0;92.0;30.7;2.278
11/29/23 05:54:06 PM;0.0;;1.0;92.0;30.6;2.278
11/29/23 05:54:04 PM;0.0;;1.0;;;
11/29/23 05:54:03 PM;;;;92.0;30.6;2.278
11/29/23 05:54:01 PM;0.0;;1.0;92.0;30.7;2.278
11/29/23 05:53:59 PM;0.0;;1.0;92.0;30.6;2.278
11/29/23 05:53:58 PM;;;;;30.6;
11/29/23 05:53:56 PM;0.0;;1.0;92.0;30.6;1.928
11/29/23 05:53:54 PM;0.0;;1.0;91.9;30.6;1.928
11/29/23 05:53:51 PM;;;;;30.6;
11/29/23 05:53:45 PM;0.0;;1.0;;;
11/29/23 05:53:44 PM;;;;91.6;30.6;2.278
